id;prenom;nom;genre;age;vivant;fiction;celebre;pays_origine;Pays_residence;domaine_metier;metier;passe_metier;proche;enfants;groupe;ecran;religion;
625;Zlatan;Ibrahimovic;M;20-40;1;0;1;Suede;Z;Sport;footballeur;footballeur national;0;1980;Europeen;;0;
626;Francois;Hollande;M;40-60;1;0;1;France;F;Politique;President ;President 5eme republique;0;1950;Europeen;;0;
627;Raphael;Nadal;M;20-40;1;0;1;Espagne;R;Sport;Joueur de tennis;Joueur de tennis top 3;0;1980;Europeen;;0;
628;Pape;Francois;M;60-80;1;0;1;Argentine;F;Religion;Pape;leader spirituel;0;1930;Americain du sud;;0;
629;Segolene;Royale;F;40-60;1;0;1;France;S;Politique;Ministre;Ministre ecologie;0;1950;Europeen;;0;
630;Ronald;Reagan;M;80-120;0;0;1;USA;R;Politique;Acteur;Acteur de film;0;1910;Americain du nord;;0;
631;Fidel;Castro;M;80-120;0;0;1;Cuba;F;Politique;President;President communiste;0;1920;D'Amerique centrale;;0;
632;Jules;Cesar;M;60-80;0;0;1;Italie;J;Politique;Empereur;Empereur Romain;0;-100;Europeen;;0;
633;Michel;de Montaigne;M;40-60;0;0;1;France;M;Litterature;Ecrivain;Ecrivain humaniste;0;1530;Europeen;;0;
634;Jean-Jacques;Rousseau;M;60-80;0;0;1;France;J;Litterature;Ecrivain;Ecrivain siecle des lumières;0;1720;Europeen;;0;
635;Francois Marie;Arouet;M;80-120;0;0;1;France;F;Litterature;Ecrivain;Ecrivain siecle des lumières;0;1690;Europeen;;0;
