id;prenom;nom;genre;age;vivant;fiction;celebre;pays_origine;Pays_residence;domaine_metier;metier;passe_metier;proche;enfants;groupe;ecran;religion;
463;Lauryn;Hill;F;20-40;1;0;1;USA;L;Musique;Chanteuse;Chanteuse Soul;0;1970;Americain du nord;;0;
464;LeBron;James;M;20-40;1;0;1;USA;L;Sport;Basketteur;Basketteur Cleveland;0;1980;Americain du nord;;0;
465;Leo;Ferre;M;60-80;0;0;1;France;L;Musique;Chanteur;Chanteur Variete;0;1910;Europeen;;0;
466;Leona;Lewis;F;20-40;1;0;1;UK;L;Musique;Chanteuse;Chanteuse Rnb;0;1920;Europeen;;0;
467;Leonard;Nimoy;M;80-120;1;0;1;USA;L;Cinema;Acteur;Acteur dans une serie;0;1930;Americain du nord;Star Trek;0;
468;Leonard;De-vinci;M;60-80;0;0;1;Italie;L;Art;Peintre;Peintre Renaissance;0;1450;Europeen;;0;
469;Lil;Wayne;M;20-40;1;0;1;USA;L;Musique;Chanteur;Chanteur Rap;0;1900;Americain du nord;;0;
470;Lilly;Allen;F;20-40;1;0;1;UK;L;Musique;Chanteuse;Chanteuse Pop;0;1980;Europeen;;0;
471;Lily;Cole;F;20-40;1;0;1;Italie;L;Mode;Mannequin;Mannequin;0;1980;Europeen;;0;
472;Linda;Evangelista;F;40-60;1;0;1;Canada;L;Mode;Mannequin;Mannequin;0;1960;Americain du nord;;0;
473;Lionel;Messi;M;20-40;1;0;1;Argentine;L;Sport;footballeur;footballeur national;0;1980;Americain du sud;;0;
474;Lorie;Lorie;F;20-40;1;0;1;France;L;Musique;Chanteuse;Chanteuse Variete;0;1980;Europeen;;0;
475;Luciano;Pavarotti;M;60-80;0;0;1;Italie;L;Musique;Chanteur;Chanteur Opera;0;1930;Europeen;;0;
476;M;Beethoven;M;40-60;0;0;1;Allemagne;M;Musique;Pianiste;Compositeur musique classique;0;1770;Europeen;;0;
477;Matt;Pokora;M;20-40;1;0;1;France;M;Musique;Chanteur;Chanteur Pop;0;1980;Europeen;;0;
478;Macy;Gray;F;40-60;1;0;1;USA;M;Musique;Chanteuse;Chanteuse Soul;0;1960;Americain du nord;;0;
479;Madonna;Ciccone;F;40-60;1;0;1;USA;M;Musique;Chanteuse;Chanteuse Rnb;0;1950;Americain du nord;;0;
480;Mahatma;Gandi;M;60-80;0;0;1;Inde;M;Politique;Guide spirituel;Guide contre l'oppression ;0;1860;D'Asie;;0;
481;Mandy;Moore;F;20-40;1;0;1;USA;M;Cinema;Actrice;Actrice de film;0;1960;Americain du nord;Raiponce;0;
482;Marcia;Cross;F;40-60;1;0;1;USA;M;Cinema;Actrice;Actrice dans une serie;0;1960;Americain du nord;Desperate Housewives;0;
483;Maria;Sharapova;F;20-40;1;0;1;Russie;M;Mode;Mannequin;Mannequin;0;1980;Europeen;;0;
484;Mariah;Carey;F;40-60;1;0;1;USA;M;Musique;Chanteuse;Chanteuse Rnb;0;1970;Americain du nord;;0;
485;Marilyn;Manson;M;40-60;1;0;1;Allemagne;M;Musique;Chanteur;Chanteur Hard rock;0;1960;Europeen;;0;
486;Mark;Hoppus;M;40-60;1;0;1;USA;M;Musique;Chanteur;Chanteur Rock;0;1970;Americain du nord;;0;
487;Marlene;Dietrich;M;80-120;0;0;1;Allemagne;M;Cinema;Actrice;Actrice de film;0;1900;Europeen;L'ange Bleu;0;
488;Martin;Luther-King;M;20-40;0;0;1;USA;M;Politique;Guide spirituel;Guide contre l'oppression ;0;1920;Americain du nord;;0;
489;Mary;J-Blige;F;40-60;1;0;1;USA;M;Musique;Chanteuse;Chanteuse Rnb;0;1970;Americain du nord;;0;
490;Matthew;Bellamy;M;20-40;1;0;1;UK;M;Musique;Chanteur;Chanteur Rock;0;1970;Europeen;;0;
491;Mel;Gibson;M;40-60;1;0;1;USA;M;Cinema;Acteur;Acteur de film;0;1950;Americain du nord;Bravehearrt;0;
492;Meryl;Streep;F;60-80;1;0;1;USA;M;Cinema;Actrice;Actrice de film;0;1940;Americain du nord;La dame de fer;0;
493;Michael;Jackson;M;40-60;0;0;1;USA;M;Musique;Chanteur;Chanteur Pop;0;1970;Americain du nord;;0;
494;Michael;Jordan;M;40-60;1;0;1;USA;M;Sport;Basketteur;Basketteur Chicago Bulls;0;1960;Americain du nord;;0;
495;Michele;Mercier;F;60-80;1;0;1;France;M;Cinema;Actrice;Actrice de film;0;1930;Europeen;Angelique;0;
